 População Residente - Brasil
População residente por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1998
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";557;2664;2792;4658;3637;2185;1355;849;235;73;19005
"110037 Alto Alegre dos Parecis";225;1116;1105;1940;1325;823;571;252;72;19;7448
"110040 Alto Paraíso";263;1111;1268;2236;1575;1022;736;356;91;23;8681
"110034 Alvorada D'Oeste";461;1971;2301;3413;2554;1647;1064;641;206;47;14305
"110002 Ariquemes";1773;7160;8182;14058;10814;6473;3625;1967;734;174;54960
"110045 Buritis";278;1177;1334;1918;1561;1068;639;261;45;14;8295
"110003 Cabixi";179;713;797;1285;1064;707;492;296;107;27;5667
"110060 Cacaulândia";96;531;549;860;682;450;294;163;48;13;3686
"110004 Cacoal";1752;7155;8264;14061;11021;6759;3813;2424;965;283;56497
"110070 Campo Novo de Rondônia";200;857;886;1307;1029;689;434;219;45;10;5676
"110080 Candeias do Jamari";362;1373;1403;1954;1616;1105;679;380;153;45;9070
"110090 Castanheiras";111;454;458;761;535;367;272;163;52;11;3184
"110005 Cerejeiras";437;1824;2000;3355;2818;1678;1087;709;263;63;14234
"110092 Chupinguaia";97;458;457;728;576;379;251;137;45;6;3134
"110006 Colorado do Oeste";514;2153;2806;4249;3443;2261;1426;872;394;105;18223
"110007 Corumbiara";249;1016;1213;1721;1206;874;636;315;89;30;7349
"110008 Costa Marques";310;1088;955;1559;1076;753;438;306;112;30;6627
"110094 Cujubim";89;468;507;770;540;462;301;127;27;4;3295
"110009 Espigão D'Oeste";542;2226;2805;4575;3624;2203;1252;803;285;80;18395
"110100 Governador Jorge Teixeira";284;1207;1381;1919;1346;998;663;327;106;20;8251
"110010 Guajará-Mirim";887;3772;4552;7061;5218;3156;1930;1274;730;223;28803
"110110 Itapuã do Oeste";145;543;572;825;758;505;348;153;60;14;3923
"110011 Jaru";1040;4367;5725;8808;6495;4116;2420;1461;612;198;35242
"110012 Ji-Paraná";1829;7930;10771;17845;14596;8799;4743;2824;1308;331;70976
"110013 Machadinho D'Oeste";607;2736;3296;5217;4607;2362;1161;468;169;22;20645
"110120 Ministro Andreazza";228;1018;1188;1944;1301;888;590;322;151;44;7674
"110130 Mirante da Serra";357;1482;1620;2230;1769;1186;721;483;177;51;10076
"110140 Monte Negro";271;1078;1152;1865;1304;894;554;302;95;15;7530
"110014 Nova Brasilândia D'Oeste";374;1607;1729;2835;1999;1348;834;538;181;43;11488
"110033 Nova Mamoré";532;1894;1880;2844;1931;1140;749;421;150;41;11582
"110143 Nova União";152;661;740;1167;783;536;381;210;88;31;4749
"110050 Novo Horizonte do Oeste";236;1037;1216;1964;1377;931;652;330;114;29;7886
"110015 Ouro Preto do Oeste";914;3793;4690;7552;5743;3471;2221;1288;615;152;30439
"110145 Parecis";76;337;452;712;703;333;262;120;18;5;3018
"110018 Pimenta Bueno";728;2893;3525;5789;4853;2908;1619;1047;408;111;23881
"110146 Pimenteiras do Oeste";63;286;231;430;284;231;158;60;37;6;1786
"110020 Porto Velho";7482;29180;35079;57842;47219;26961;13034;7187;3475;1042;228501
"110025 Presidente Médici";636;2639;3353;4963;3925;2667;1656;1121;487;130;21577
"110147 Primavera de Rondônia";115;366;493;740;551;389;253;140;71;11;3129
"110026 Rio Crespo";126;446;513;835;696;414;266;172;41;9;3518
"110028 Rolim de Moura";966;4108;4871;8097;6291;3918;2396;1604;645;171;33067
"110029 Santa Luzia D'Oeste";258;1027;1156;1986;1481;910;618;407;153;43;8039
"110148 São Felipe D'Oeste";136;572;834;1054;921;656;445;216;81;28;4943
"110149 São Francisco do Guaporé";173;781;865;1344;992;680;464;214;53;14;5580
"110032 São Miguel do Guaporé";528;2202;2291;3599;2633;1655;1127;512;149;37;14733
