 População Residente - Brasil
População residente por Município e Ano
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:1993-2012
"Município";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"110001 Alta Floresta D'Oeste";27172;28260;29312;24896;18543;19005;18555;20174;20466;20710;20958;21204;21770;22056;23544;19825;19765;19884;19750;19621
"110037 Alto Alegre dos Parecis";-;-;-;-;7272;7448;7276;9619;9957;10210;10485;10758;11382;11699;12358;9367;9360;10156;10165;10172
"110040 Alto Paraíso";6969;7244;7514;8067;8402;8681;9000;10079;10523;10820;11166;11508;12290;12687;13353;13493;13849;13465;13707;13942
"110034 Alvorada D'Oeste";16509;17163;17804;14655;14467;14305;14119;15198;15153;15135;15106;15072;15009;14974;15611;13688;13511;13661;13476;13297
"110002 Ariquemes";48444;50377;52259;51686;53537;54960;55251;57454;58895;60182;61445;62710;65571;67033;70550;67376;68344;72811;73793;74741
"110045 Buritis";-;-;-;-;7555;8295;8768;19476;21345;23158;24865;26574;30440;32410;35715;26787;27503;25561;25967;26363
"110003 Cabixi";6545;6803;7061;6035;5654;5667;5691;5772;5764;5747;5742;5733;5705;5696;6060;5564;5504;5202;5127;5051
"110060 Cacaulândia";4319;4488;4656;3734;3707;3686;3658;4130;4121;4154;4160;4167;4193;4199;4417;4625;4663;4556;4575;4601
"110004 Cacoal";55382;57593;59747;55374;55982;56497;57081;57168;57499;57800;58090;58385;59049;59385;62501;63908;64510;64826;65144;65449
"110070 Campo Novo de Rondônia";3529;3667;3806;11251;5172;5676;5999;8570;9444;10092;10800;11504;13104;13919;15125;9821;9922;9898;9971;10040
"110080 Candeias do Jamari";5945;6180;6414;7802;8488;9070;9733;9842;10373;10747;11168;11588;12540;13029;13890;13262;13602;15511;15912;16301
"110090 Castanheiras";3597;3743;3881;3222;3197;3184;3157;3214;3196;3186;3176;3165;3136;3122;3280;3024;3001;2898;2860;2821
"110005 Cerejeiras";18173;18897;19604;15940;14304;14234;14156;13985;13834;13770;13667;13568;13340;13226;13943;13791;13739;14037;13963;13891
"110092 Chupinguaia";-;-;-;-;3106;3134;3165;4194;4329;4437;4550;4662;4923;5052;5315;5976;6167;6572;6740;6905
"110006 Colorado do Oeste";20817;21648;22460;18672;18427;18223;17987;16927;16561;16145;15781;15422;14600;14182;14627;15029;14764;15502;15290;15087
"110007 Corumbiara";9959;10354;10746;8236;7485;7349;7188;7810;7683;7588;7481;7380;7147;7027;7439;7891;7871;7123;7019;6919
"110008 Costa Marques";8352;8683;9009;10248;6201;6627;8034;7616;7968;8218;7650;7900;8467;8754;9207;10628;11016;10478;10741;10997
"110094 Cujubim";-;-;-;-;3094;3295;3256;4974;5309;5558;5830;6102;6716;7031;7372;10807;11426;12297;12854;13390
"110009 Espigão D'Oeste";18850;19602;20338;18128;18272;18395;18534;19945;20175;20358;20548;20743;21175;21398;22464;23141;23415;23403;23594;23778
"110100 Governador Jorge Teixeira";5206;5410;5612;7124;7734;8251;8781;10187;10825;11281;11788;12294;13443;14028;15073;9092;8946;8350;8160;7975
