 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Ano do Óbito
Período:1993-1995
"Município";"1993";"1994";"1995";"Total"
"110001 Alta Floresta D'Oeste";102;107;89;298
"110040 Alto Paraíso";-;23;26;49
"110034 Alvorada D'Oeste";52;62;73;187
"110002 Ariquemes";501;449;433;1383
"110003 Cabixi";11;19;18;48
"110060 Cacaulândia";-;1;6;7
"110004 Cacoal";366;309;332;1007
"110070 Campo Novo de Rondônia";-;11;32;43
"110080 Candeias do Jamari";-;-;2;2
"110090 Castanheiras";-;8;3;11
"110005 Cerejeiras";72;60;67;199
"110006 Colorado do Oeste";83;88;98;269
"110007 Corumbiara";-;5;16;21
"110008 Costa Marques";51;49;48;148
"110009 Espigão D'Oeste";53;40;62;155
"110100 Governador Jorge Teixeira";-;10;21;31
"110010 Guajará-Mirim";129;132;201;462
"110110 Itapuã do Oeste";-;3;2;5
"110011 Jaru";279;255;354;888
"110012 Ji-Paraná";564;603;897;2064
"110013 Machadinho D'Oeste";64;67;95;226
"110120 Ministro Andreazza";-;4;4;8
"110130 Mirante da Serra";-;2;-;2
"110140 Monte Negro";-;10;46;56
"110014 Nova Brasilândia D'Oeste";19;3;11;33
"110033 Nova Mamoré";13;25;37;75
"110050 Novo Horizonte do Oeste";-;11;10;21
"110015 Ouro Preto do Oeste";232;221;223;676
"110018 Pimenta Bueno";161;163;190;514
"110020 Porto Velho";1318;1321;995;3634
"110025 Presidente Médici";86;88;162;336
"110026 Rio Crespo";-;2;4;6
"110028 Rolim de Moura";193;208;195;596
"110029 Santa Luzia D'Oeste";32;35;38;105
"110032 São Miguel do Guaporé";48;7;22;77
"110150 Seringueiras";-;9;40;49
"110160 Theobroma";-;7;12;19
"110170 Urupá";-;4;4;8
"110180 Vale do Paraíso";-;11;26;37
"110030 Vilhena";249;217;298;764
"110000 Município ignorado - RO";18;1;1;20
"120001 Acrelândia";1;4;14;19
"120005 Assis Brasil";7;2;2;11
"120010 Brasiléia";75;81;68;224
"120013 Bujari";2;2;6;10
"120017 Capixaba";1;1;2;4
"120020 Cruzeiro do Sul";322;375;320;1017
"120025 Epitaciolândia";21;23;19;63
"120030 Feijó";60;81;61;202
"120032 Jordão";-;-;1;1
"120033 Mâncio Lima";3;2;10;15
"120034 Manoel Urbano";1;4;4;9
"120035 Marechal Thaumaturgo";-;-;3;3
"120038 Plácido de Castro";27;25;47;99
"120080 Porto Acre";3;4;-;7
"120039 Porto Walter";1;-;-;1
"120040 Rio Branco";1423;1443;1467;4333
"120042 Rodrigues Alves";4;-;1;5
"120043 Santa Rosa do Purus";-;-;2;2
"120050 Sena Madureira";87;93;74;254
"120045 Senador Guiomard";8;3;7;18
"120060 Tarauacá";36;61;24;121
"120070 Xapuri";38;42;33;113
"130002 Alvarães";2;2;5;9
