 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 Alta Floresta D'Oeste";4;3;4;8;8;10;11;14;15;7;84
"110037 Alto Alegre dos Parecis";1;-;-;-;4;3;2;3;4;1;18
"110040 Alto Paraíso";-;-;1;3;4;3;1;1;6;-;19
"110034 Alvorada D'Oeste";4;-;2;6;5;3;2;10;10;12;54
"110002 Ariquemes";46;4;11;29;41;31;42;59;49;34;346
"110045 Buritis";15;4;2;18;17;11;5;6;10;4;92
"110003 Cabixi";-;-;-;3;-;2;2;2;3;4;16
"110060 Cacaulândia";-;-;-;2;1;3;1;1;2;1;11
"110004 Cacoal";59;2;12;19;23;30;19;58;80;48;350
"110070 Campo Novo de Rondônia";1;1;1;5;4;5;2;2;4;-;25
"110080 Candeias do Jamari";-;-;-;2;2;1;-;2;2;3;12
"110090 Castanheiras";-;-;-;-;-;-;1;2;3;-;6
"110005 Cerejeiras";8;-;3;3;3;4;6;8;9;8;52
"110092 Chupinguaia";-;-;-;4;1;4;1;1;-;-;11
"110006 Colorado do Oeste";1;2;2;3;6;6;2;6;19;9;56
"110007 Corumbiara";1;-;-;-;-;-;1;1;1;1;5
"110008 Costa Marques";7;-;-;3;-;8;3;3;9;5;38
"110094 Cujubim";-;1;-;3;1;2;2;3;1;-;13
"110009 Espigão D'Oeste";3;3;1;10;11;10;17;20;14;21;110
"110100 Governador Jorge Teixeira";4;1;1;2;1;2;2;1;2;1;17
"110010 Guajará-Mirim";7;-;1;3;6;10;13;24;15;31;110
"110110 Itapuã do Oeste";-;-;1;-;3;1;-;-;3;1;9
"110011 Jaru";21;1;6;18;15;15;20;20;33;22;171
"110012 Ji-Paraná";42;9;10;36;33;43;43;63;96;59;434
"110013 Machadinho D'Oeste";8;-;1;11;8;9;8;8;5;2;60
"110120 Ministro Andreazza";-;1;-;4;1;1;1;2;6;5;21
"110130 Mirante da Serra";4;-;-;2;2;2;4;1;5;10;30
"110140 Monte Negro";4;1;1;4;8;4;5;5;6;2;40
"110014 Nova Brasilândia D'Oeste";1;-;2;9;7;4;9;15;9;6;62
"110033 Nova Mamoré";2;-;1;7;7;3;3;8;14;4;49
"110143 Nova União";2;-;-;-;-;1;1;2;1;1;8
"110050 Novo Horizonte do Oeste";-;-;-;-;3;2;1;-;2;-;8
"110015 Ouro Preto do Oeste";20;1;6;12;14;20;21;27;34;18;173
"110145 Parecis";2;-;-;2;-;2;1;1;-;1;9
"110018 Pimenta Bueno";18;2;4;13;13;20;13;27;33;20;163
"110146 Pimenteiras do Oeste";-;-;-;-;1;-;-;1;-;-;2
"110020 Porto Velho";275;39;73;241;251;265;269;310;287;188;2198
"110025 Presidente Médici";1;-;1;6;9;11;7;14;21;17;87
"110147 Primavera de Rondônia";-;-;-;-;-;1;-;-;3;4;8
"110026 Rio Crespo";-;-;-;2;1;-;1;1;-;1;6
"110028 Rolim de Moura";12;4;4;16;16;23;24;41;38;33;211
"110029 Santa Luzia D'Oeste";1;-;1;2;2;3;5;2;7;6;29
"110148 São Felipe D'Oeste";-;-;-;1;-;-;2;1;1;3;8
"110149 São Francisco do Guaporé";5;2;2;6;9;8;5;5;1;1;44
"110032 São Miguel do Guaporé";6;2;1;7;8;5;5;7;8;3;52
"110150 Seringueiras";1;1;-;2;-;2;4;3;7;1;21
"110155 Teixeirópolis";-;-;-;-;-;-;2;3;3;1;9
"110160 Theobroma";-;-;3;3;2;1;5;3;2;2;21
"110170 Urupá";1;2;3;2;7;2;2;4;5;5;33
"110175 Vale do Anari";-;3;1;1;2;3;2;1;2;2;17
"110180 Vale do Paraíso";-;-;-;4;1;1;1;2;6;-;15
"110030 Vilhena";24;4;10;14;14;16;29;34;32;22;199
"110000 Município ignorado - RO";-;-;-;-;-;1;-;-;-;-;1
"120001 Acrelândia";-;-;-;-;1;1;-;4;2;2;10
"120010 Brasiléia";12;1;-;6;4;2;3;11;10;13;62
"120013 Bujari";-;-;-;2;3;5;-;-;-;1;11
"120017 Capixaba";-;-;-;-;2;2;-;-;1;-;5
"120020 Cruzeiro do Sul";59;7;12;19;20;18;29;33;44;51;292
"120025 Epitaciolândia";1;-;1;2;1;3;2;3;3;3;19
"120030 Feijó";25;3;6;5;3;5;3;11;9;18;88
"120033 Mâncio Lima";-;2;-;1;-;-;1;-;1;2;7
"120034 Manoel Urbano";-;-;1;2;-;1;-;-;1;1;6
"120035 Marechal Thaumaturgo";-;-;-;-;2;-;-;-;-;-;2
"120038 Plácido de Castro";3;-;1;1;5;6;2;5;3;4;30
"120080 Porto Acre";1;-;1;2;-;4;1;1;1;2;13
"120039 Porto Walter";2;-;1;-;-;-;1;-;-;1;5
"120040 Rio Branco";204;32;61;140;146;158;150;194;270;273;1628
"120042 Rodrigues Alves";1;1;1;-;-;-;-;-;4;1;8
"120050 Sena Madureira";6;-;3;10;2;6;8;7;8;17;67
"120045 Senador Guiomard";5;1;1;5;4;2;2;5;1;8;34
"120060 Tarauacá";25;8;4;7;6;7;3;8;22;17;107
"120070 Xapuri";1;-;1;1;4;1;4;7;5;5;29
"130002 Alvarães";4;-;-;1;1;-;2;1;1;2;12
"130006 Amaturá";2;-;-;1;1;1;1;2;1;1;10
"130008 Anamã";5;3;-;-;1;2;1;3;3;2;20
