 Sistema de Informação de Atenção Básica - Cadastramento Familiar - Brasil
Nº Pessoas por Município e Ano
Período:Dez/1998, Dez/1999, Dez/2000, Dez/2001, Dez/2002, Dez/2003, Dez/2004, Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"110001 Alta Floresta D'Oeste";8;13467;17934;19538;19538;19529;18998;20256;22717;22281;24030;23224;22596;22567;21569
"110037 Alto Alegre dos Parecis";4994;8827;7714;7562;7452;6822;6658;6262;12770;12322;12944;11137;11501;11588;11320
"110040 Alto Paraíso";-;2142;7966;9331;9331;8034;3307;7099;7268;10449;11384;11381;5162;8737;10771
"110034 Alvorada D'Oeste";13580;11361;11672;15667;15596;13802;16219;16246;16525;6355;17251;17877;6178;10953;14214
"110002 Ariquemes";2694;38846;47606;46975;47018;38408;71113;49082;59904;62627;60662;60358;57317;58402;63016
"110045 Buritis";-;9571;10271;12427;14991;22040;30028;29659;25223;29020;29167;28581;23288;24163;24166
"110003 Cabixi";-;-;6738;6957;6957;5084;6514;6690;6748;6678;8171;7998;8412;5590;5826
"110060 Cacaulândia";-;2470;3560;3504;5420;5506;5667;3495;5178;5140;4955;5003;5567;5524;5756
"110004 Cacoal";20359;31420;29049;56775;59773;62681;68069;70829;71129;56483;56357;57458;56037;57368;62948
"110070 Campo Novo de Rondônia";-;2208;3580;8343;8570;8826;9304;8603;8528;11953;11982;10642;10151;9500;9821
"110080 Candeias do Jamari";3832;1638;8253;10880;8135;7755;9396;9402;9770;8961;8947;10294;12957;15105;15042
"110090 Castanheiras";-;-;4247;4643;4139;4139;3710;3965;4087;4044;3669;3693;3693;3694;3694
"110005 Cerejeiras";4959;17434;18145;19421;19417;18760;11732;15797;16535;16134;16177;17008;17496;16565;16253
"110092 Chupinguaia";3939;1779;1551;1551;2354;2354;2354;5728;5753;5514;5514;5514;5420;7204;7313
"110006 Colorado do Oeste";3199;19209;20488;20270;20445;20445;19211;19370;19888;18716;18716;18618;18595;14599;14602
"110007 Corumbiara";5;4254;4724;4702;7324;7162;7299;6857;7484;5087;7158;8061;8061;8062;5962
"110008 Costa Marques";-;4906;4906;7915;8430;8430;8430;8493;8493;8447;-;-;-;-;-
"110094 Cujubim";303;2536;2842;4558;4606;3252;4601;7970;12136;13431;12656;13782;16481;16733;16758
"110009 Espigão D'Oeste";2;5352;17696;20810;21012;21165;19360;19126;19126;10400;15626;14871;13910;13523;21626
"110100 Governador Jorge Teixeira";-;4207;4682;5025;5085;10185;9720;9684;9717;3390;6893;4567;4366;5589;8290
"110010 Guajará-Mirim";18327;30329;32792;33116;33116;27812;27729;27752;27747;27747;27747;50523;37314;32149;32149
"110110 Itapuã do Oeste";-;5588;5586;6439;5411;5411;4056;4056;6196;6398;6785;7031;8754;7138;5945
"110011 Jaru";1;-;1262;20166;22105;24014;20808;21043;22290;21024;26926;36630;56722;64454;64588
"110012 Ji-Paraná";-;2234;9235;76504;77722;94838;94359;94359;96004;47200;47200;52589;35933;37756;25671
"110013 Machadinho D'Oeste";-;805;19620;19365;18140;20844;18600;20680;25605;31561;28485;28153;28755;27624;25693
"110120 Ministro Andreazza";4723;8734;12935;12532;12532;12532;12532;12532;12532;9663;-;12532;620;2623;7051
"110130 Mirante da Serra";-;5;11296;12469;12532;12357;12428;12238;11541;11642;14516;14539;13608;9703;9643
"110140 Monte Negro";-;-;6239;6948;6426;7688;9441;9514;9375;10713;10822;12460;-;-;186
"110014 Nova Brasilândia D'Oeste";15445;3764;3998;11804;13320;20932;22927;25295;25366;25778;25394;22991;23475;-;24352
"110033 Nova Mamoré";-;203;4955;5987;5950;5954;7171;10317;4064;6476;10746;10851;10515;10185;9661
"110143 Nova União";-;339;2037;2037;7238;7810;8103;6751;7284;7679;7769;7829;7563;7333;7386
"110050 Novo Horizonte do Oeste";170;5031;11395;10646;10902;10821;5121;5250;9512;9078;8783;9015;10032;10045;9522
"110015 Ouro Preto do Oeste";18253;23857;40079;25865;32708;43968;43007;33904;30285;27814;40395;45234;46724;45338;51653
"110145 Parecis";-;535;2531;3545;3245;3778;3778;3999;3999;2566;2502;2650;2668;2672;740
"110018 Pimenta Bueno";5621;19097;23325;28255;30629;32317;30391;30216;29888;27329;28284;28460;28666;10464;25987
"110146 Pimenteiras do Oeste";1405;539;546;2081;2023;2134;2380;2351;2251;2257;2291;2284;-;1662;2712
"110020 Porto Velho";-;319;26355;138542;139055;148159;99121;107929;125029;139028;131008;159160;180734;211682;242058
"110025 Presidente Médici";18;77;24050;24048;24048;19072;16490;20352;20111;14977;16277;14746;13664;12461;12917
"110147 Primavera de Rondônia";-;3794;4347;4197;3915;3804;3723;3723;3818;3734;3734;3564;3657;3573;3386
"110026 Rio Crespo";-;-;2593;3054;2986;2502;2810;2801;2937;3139;3253;3368;3226;3339;3128
